;track;artist;genre;time;date.entered;date.peaked;Week;Ranking;New_time;timedelta;entered_to_datetime;peaked_to_datetime
3342;Unconditional;Davidson, Clay;Country;3:56;2000-03-25;2000-06-17;11;54;0:3:56;0 days 00:03:56.000000000;2000-03-25;2000-06-17
3343;What You Want;DMX;Rap;4:05;2000-07-01;2000-09-23;11;52;0:4:05;0 days 00:04:05.000000000;2000-07-01;2000-09-23
3344;Someday Out Of The Blue;John, Elton;Rock;4:41;2000-04-22;2000-05-06;11;93;0:4:41;0 days 00:04:41.000000000;2000-04-22;2000-05-06
3346;The Best Of Me;Mya;Rock;4:12;2000-04-15;2000-05-20;11;72;0:4:12;0 days 00:04:12.000000000;2000-04-15;2000-05-20
3347;Flowers On The Wall;Heatherly, Eric;Country;3:16;2000-04-29;2000-08-12;11;65;0:3:16;0 days 00:03:16.000000000;2000-04-29;2000-08-12
3348;Stan;Eminem;Rap;5:26;2000-11-04;2000-12-02;11;69;0:5:26;0 days 00:05:26.000000000;2000-11-04;2000-12-02
3349;I'll Be;McEntire, Reba;Country;4:23;2000-05-13;2000-07-29;11;52;0:4:23;0 days 00:04:23.000000000;2000-05-13;2000-07-29
3350;Feelin' Good;Lopez, Jennifer;Latin;4:28;2000-02-19;2000-04-08;11;96;0:4:28;0 days 00:04:28.000000000;2000-02-19;2000-04-08
3351;Your Everything;Urban, Keith;Country;4:10;2000-07-15;2000-09-16;11;55;0:4:10;0 days 00:04:10.000000000;2000-07-15;2000-09-16
3353;Feels Like Love;Gill, Vince;Country;4:13;2000-09-02;2000-11-18;11;53;0:4:13;0 days 00:04:13.000000000;2000-09-02;2000-11-18
3354;Could I Have This Kiss Forever;Houston, Whitney;Rock;3:54;2000-06-17;2000-08-05;11;59;0:3:54;0 days 00:03:54.000000000;2000-06-17;2000-08-05
3355;The Bad Touch;Bloodhound Gang;R&B;4:20;2000-03-18;2000-04-15;11;96;0:4:20;0 days 00:04:20.000000000;2000-03-18;2000-04-15
3356;Angels;Williams, Robbie;Rock;3:56;1999-11-20;2000-01-22;11;72;0:3:56;0 days 00:03:56.000000000;1999-11-20;2000-01-22
3357;Because You Love Me;Messina, Jo Dee;Country;3:50;2000-01-29;2000-03-11;11;61;0:3:50;0 days 00:03:50.000000000;2000-01-29;2000-03-11
3358;Country Comes To Town;Keith, Toby;Country;3:39;2000-08-05;2000-10-14;11;54;0:3:39;0 days 00:03:39.000000000;2000-08-05;2000-10-14
3359;Girls Dem Sugar;Beenie Man;Reggae;4:17;2000-10-21;2000-12-02;11;84;0:4:17;0 days 00:04:17.000000000;2000-10-21;2000-12-02
3360;Let's Make Love;Hill, Faith;Rap;4:11;2000-08-12;2000-10-21;11;54;0:4:11;0 days 00:04:11.000000000;2000-08-12;2000-10-21
3361;Caught Out There;Kelis;R&B;4:09;1999-12-04;2000-01-08;11;75;0:4:09;0 days 00:04:09.000000000;1999-12-04;2000-01-08
3363;Loser;3 Doors Down;Rock;4:24;2000-10-21;2000-12-02;11;61;0:4:24;0 days 00:04:24.000000000;2000-10-21;2000-12-02
3364;You'll Always Be Loved By Me;Brooks & Dunn;Country;2:58;2000-06-10;2000-09-09;11;62;0:2:58;0 days 00:02:58.000000000;2000-06-10;2000-09-09
3365;What I Need To Do;Chesney, Kenny;Country;4:05;2000-04-01;2000-06-10;11;56;0:4:05;0 days 00:04:05.000000000;2000-04-01;2000-06-10
3366;No More Rain (In This Cloud);Stone, Angie;R&B;4:42;1999-12-25;2000-01-22;11;63;0:4:42;0 days 00:04:42.000000000;1999-12-25;2000-01-22
3367;That's What I'm Looking For;Da Brat;Rap;3:44;2000-02-26;2000-04-15;11;71;0:3:44;0 days 00:03:44.000000000;2000-02-26;2000-04-15
3369;Last Resort;Papa Roach;Rock;3:19;2000-07-29;2000-12-02;11;63;0:3:19;0 days 00:03:19.000000000;2000-07-29;2000-12-02
3370;Open My Heart;Adams, Yolanda;Gospel;5:30;2000-08-26;2000-10-21;11;66;0:5:30;0 days 00:05:30.000000000;2000-08-26;2000-10-21
3371;Bad Boyz;Shyne;Rap;4:22;2000-09-09;2000-10-28;11;74;0:4:22;0 days 00:04:22.000000000;2000-09-09;2000-10-28
3372;The Great Beyond;R.E.M.;Rock;4:10;1999-12-25;2000-01-29;11;60;0:4:10;0 days 00:04:10.000000000;1999-12-25;2000-01-29
3373;It's Always Somethin';Diffie, Joe;Country;2:55;2000-08-12;2000-09-16;11;92;0:2:55;0 days 00:02:55.000000000;2000-08-12;2000-09-16
3374;Some Things Never Change;McGraw, Tim;Country;3:56;2000-05-13;2000-07-01;11;58;0:3:56;0 days 00:03:56.000000000;2000-05-13;2000-07-01
3375;Taking You Home;Henley, Don;Rock;4:08;2000-06-24;2000-08-05;11;71;0:4:08;0 days 00:04:08.000000000;2000-06-24;2000-08-05
3377;You Owe Me;Nas;R&B;3:51;2000-03-25;2000-04-15;11;75;0:3:51;0 days 00:03:51.000000000;2000-03-25;2000-04-15
3378;Change Your Mind;Sister Hazel;Rock;4:02;2000-07-15;2000-08-05;11;84;0:4:02;0 days 00:04:02.000000000;2000-07-15;2000-08-05
3380;There You Are;McBride, Martina;Country;3:26;2000-09-09;2000-10-21;11;63;0:3:26;0 days 00:03:26.000000000;2000-09-09;2000-10-21
3385;I Think God Can Explain;Splender;R&B;3:55;2000-06-10;2000-06-24;11;95;0:3:55;0 days 00:03:55.000000000;2000-06-10;2000-06-24
3387;Mirror Mirror;M2M;Pop;3:19;2000-04-01;2000-05-27;11;74;0:3:19;0 days 00:03:19.000000000;2000-04-01;2000-05-27
3389;Treat Her Like A Lady;Joe;Rock;4:12;2000-08-05;2000-08-19;11;78;0:4:12;0 days 00:04:12.000000000;2000-08-05;2000-08-19
3390;Deep Inside;Blige, Mary J.;Rock;5:26;1999-11-13;2000-01-22;11;63;0:5:26;0 days 00:05:26.000000000;1999-11-13;2000-01-22
3391;You Should've Told Me;Price, Kelly;Rock;3:12;2000-09-23;2000-12-02;11;64;0:3:12;0 days 00:03:12.000000000;2000-09-23;2000-12-02
3392;That Other Woman;Changing Faces;Rock;4:00;2000-09-30;2000-10-28;11;97;0:4:00;0 days 00:04:00.000000000;2000-09-30;2000-10-28
3394;Rollin';Limp Bizkit;Rock;4:04;2000-11-11;2000-12-09;11;80;0:4:04;0 days 00:04:04.000000000;2000-11-11;2000-12-09
3395;I Need A Hot Girl;Hot Boys;Rap;4:16;2000-02-19;2000-03-11;11;92;0:4:16;0 days 00:04:16.000000000;2000-02-19;2000-03-11
3397;More;Adkins, Trace;Country;3:05;2000-04-29;2000-06-17;11;92;0:3:05;0 days 00:03:05.000000000;2000-04-29;2000-06-17
3400;What's My Name;DMX;Rap;3:50;2000-01-15;2000-02-12;11;100;0:3:50;0 days 00:03:50.000000000;2000-01-15;2000-02-12
3404;Californication;Red Hot Chili Peppers;Rock;5:21;2000-07-29;2000-10-14;11;74;0:5:21;0 days 00:05:21.000000000;2000-07-29;2000-10-14
3405;Deep Inside Of You;Third Eye Blind;Rock;4:10;2000-09-02;2000-10-07;11;95;0:4:10;0 days 00:04:10.000000000;2000-09-02;2000-10-07
3408;My Baby You;Anthony, Marc;Latin;3:59;2000-09-16;2000-10-07;11;73;0:3:59;0 days 00:03:59.000000000;2000-09-16;2000-10-07
3412;That's The Kind Of Mood I'm In;Loveless, Patty;Country;3:27;2000-09-16;2000-11-18;11;71;0:3:27;0 days 00:03:27.000000000;2000-09-16;2000-11-18
3414;Can't Fight The Moonlight;Rimes, LeAnn;Country;3:33;2000-09-09;2000-09-16;11;77;0:3:33;0 days 00:03:33.000000000;2000-09-09;2000-09-16
3415;Tha Block Is Hot;Lil Wayne;Rap;4:13;1999-12-04;2000-01-08;11;95;0:4:13;0 days 00:04:13.000000000;1999-12-04;2000-01-08
3418;Left, Right, Left;Drama;Rap;3:37;2000-02-12;2000-03-18;11;100;0:3:37;0 days 00:03:37.000000000;2000-02-12;2000-03-18
3419;N 2 Gether Now;Limp Bizkit;Rock;3:55;1999-12-04;2000-01-08;11;96;0:3:55;0 days 00:03:55.000000000;1999-12-04;2000-01-08
3421;Whistle While You Twurk;Ying Yang Twins;Rap;4:19;2000-03-18;2000-04-29;11;97;0:4:19;0 days 00:04:19.000000000;2000-03-18;2000-04-29
3422;Live, Laugh, Love;Walker, Clay;Country;4:06;1999-12-04;2000-01-22;11;98;0:4:06;0 days 00:04:06.000000000;1999-12-04;2000-01-22
3426;It's So Hard;Big Punisher;Rap;3:25;2000-04-22;2000-05-06;11;90;0:3:25;0 days 00:03:25.000000000;2000-04-22;2000-05-06
3427;When You Need My Love;Worley, Darryl;Country;3:35;2000-06-17;2000-09-02;11;80;0:3:35;0 days 00:03:35.000000000;2000-06-17;2000-09-02
3428;How Many Licks?;Lil' Kim;Rap;3:50;2000-11-25;2000-12-02;11;96;0:3:50;0 days 00:03:50.000000000;2000-11-25;2000-12-02
3431;My Love Goes On And On;Cagle, Chris;Country;3:02;2000-10-21;2000-12-02;11;91;0:3:02;0 days 00:03:02.000000000;2000-10-21;2000-12-02
3433;I Disappear;Metallica;Rock;4:26;2000-05-13;2000-06-17;11;83;0:4:26;0 days 00:04:26.000000000;2000-05-13;2000-06-17
3434;Hey Papi;Jay-Z;Rap;3:40;2000-08-12;2000-10-07;11;85;0:3:40;0 days 00:03:40.000000000;2000-08-12;2000-10-07
3435;The Rockafeller Skank;Fatboy Slim;Electronica;4:00;1999-11-13;2000-01-22;11;76;0:4:00;0 days 00:04:00.000000000;1999-11-13;2000-01-22
3439;The Best Man I Can Be;Ginuwine;Rock;4:06;2000-01-08;2000-03-04;11;85;0:4:06;0 days 00:04:06.000000000;2000-01-08;2000-03-04
3442;Sour Girl;Stone Temple Pilots;Rock;4:16;2000-07-08;2000-07-29;11;91;0:4:16;0 days 00:04:16.000000000;2000-07-08;2000-07-29
3444;You Won't Be Lonely Now;Cyrus, Billy Ray;Country;3:45;2000-09-23;2000-11-11;11;80;0:3:45;0 days 00:03:45.000000000;2000-09-23;2000-11-11
3445;Meanwhile Back At The Ranch;Clark Family Experience;Country;2:56;2000-11-18;2000-12-16;11;85;0:2:56;0 days 00:02:56.000000000;2000-11-18;2000-12-16
3446;Summer Rain;Thomas, Carl;Rock;4:57;2000-09-23;2000-10-14;11;95;0:4:57;0 days 00:04:57.000000000;2000-09-23;2000-10-14
3448;Shut Up;Trick Daddy;Rap;4:17;2000-05-20;2000-06-17;11;97;0:4:17;0 days 00:04:17.000000000;2000-05-20;2000-06-17
3458;Don't Call Me Baby;Madison Avenue;Electronica;3:44;2000-07-08;2000-09-16;11;88;0:3:44;0 days 00:03:44.000000000;2000-07-08;2000-09-16
3460;Re-Arranged;Limp Bizkit;Rock;4:08;1999-12-04;2000-02-05;11;89;0:4:08;0 days 00:04:08.000000000;1999-12-04;2000-02-05
3465;L.A. Song;Hart, Beth;Country;3:47;1999-11-27;2000-01-15;11;91;0:3:47;0 days 00:03:47.000000000;1999-11-27;2000-01-15
3487;Independent Women Part I;Destiny's Child;Rock;3:38;2000-09-23;2000-11-18;12;1;0:3:38;0 days 00:03:38.000000000;2000-09-23;2000-11-18
3488;Maria, Maria;Santana;Rock;4:18;2000-02-12;2000-04-08;12;1;0:4:18;0 days 00:04:18.000000000;2000-02-12;2000-04-08
3489;I Knew I Loved You;Savage Garden;Rock;4:07;1999-10-23;2000-01-29;12;6;0:4:07;0 days 00:04:07.000000000;1999-10-23;2000-01-29
3490;Music;Madonna;Rock;3:45;2000-08-12;2000-09-16;12;2;0:3:45;0 days 00:03:45.000000000;2000-08-12;2000-09-16
3491;Come On Over Baby (All I Want Is You);Aguilera, Christina;Rock;3:38;2000-08-05;2000-10-14;12;1;0:3:38;0 days 00:03:38.000000000;2000-08-05;2000-10-14
3492;Doesn't Really Matter;Janet;Rock;4:17;2000-06-17;2000-08-26;12;1;0:4:17;0 days 00:04:17.000000000;2000-06-17;2000-08-26
3493;Say My Name;Destiny's Child;Rock;4:31;1999-12-25;2000-03-18;12;14;0:4:31;0 days 00:04:31.000000000;1999-12-25;2000-03-18
3494;Be With You;Iglesias, Enrique;Latin;3:36;2000-04-01;2000-06-24;12;4;0:3:36;0 days 00:03:36.000000000;2000-04-01;2000-06-24
3495;Incomplete;Sisqo;Rock;3:52;2000-06-24;2000-08-12;12;4;0:3:52;0 days 00:03:52.000000000;2000-06-24;2000-08-12
3496;Amazed;Lonestar;Country;4:25;1999-06-05;2000-03-04;12;24;0:4:25;0 days 00:04:25.000000000;1999-06-05;2000-03-04
3497;It's Gonna Be Me;N'Sync;Rock;3:10;2000-05-06;2000-07-29;12;4;0:3:10;0 days 00:03:10.000000000;2000-05-06;2000-07-29
3498;What A Girl Wants;Aguilera, Christina;Rock;3:18;1999-11-27;2000-01-15;12;3;0:3:18;0 days 00:03:18.000000000;1999-11-27;2000-01-15
3499;Everything You Want;Vertical Horizon;Rock;4:01;2000-01-22;2000-07-15;12;15;0:4:01;0 days 00:04:01.000000000;2000-01-22;2000-07-15
3500;With Arms Wide Open;Creed;Rock;3:52;2000-05-13;2000-11-11;12;79;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-11-11
3501;Try Again;Aaliyah;Rock;4:03;2000-03-18;2000-06-17;12;8;0:4:03;0 days 00:04:03.000000000;2000-03-18;2000-06-17
3502;Bent;matchbox twenty;Rock;4:12;2000-04-29;2000-07-22;12;6;0:4:12;0 days 00:04:12.000000000;2000-04-29;2000-07-22
3503;Thank God I Found You;Carey, Mariah;Rock;4:14;1999-12-11;2000-02-19;12;2;0:4:14;0 days 00:04:14.000000000;1999-12-11;2000-02-19
3504;Breathe;Hill, Faith;Rap;4:04;1999-11-06;2000-04-22;12;23;0:4:04;0 days 00:04:04.000000000;1999-11-06;2000-04-22
3505;Case Of The Ex (Whatcha Gonna Do);Mya;Rock;3:50;2000-08-19;2000-12-02;12;10;0:3:50;0 days 00:03:50.000000000;2000-08-19;2000-12-02
3506;He Loves U Not;Dream;Rock;3:43;2000-09-30;2000-12-30;12;8;0:3:43;0 days 00:03:43.000000000;2000-09-30;2000-12-30
3507;He Wasn't Man Enough;Braxton, Toni;Rock;4:21;2000-03-18;2000-05-06;12;5;0:4:21;0 days 00:04:21.000000000;2000-03-18;2000-05-06
3508;You Sang To Me;Anthony, Marc;Latin;3:50;2000-02-26;2000-06-03;12;13;0:3:50;0 days 00:03:50.000000000;2000-02-26;2000-06-03
3509;Give Me Just One Night (Una Noche);98¡;Rock;3:24;2000-08-19;2000-09-30;12;22;0:3:24;0 days 00:03:24.000000000;2000-08-19;2000-09-30
3510;Jumpin' Jumpin';Destiny's Child;Rock;3:48;2000-05-13;2000-08-19;12;8;0:3:48;0 days 00:03:48.000000000;2000-05-13;2000-08-19
3511;Kryptonite;3 Doors Down;Rock;3:53;2000-04-08;2000-11-11;12;51;0:3:53;0 days 00:03:53.000000000;2000-04-08;2000-11-11
3512;Thong Song;Sisqo;Rock;4:05;2000-01-29;2000-05-20;12;6;0:4:05;0 days 00:04:05.000000000;2000-01-29;2000-05-20
3513;I Turn To You;Aguilera, Christina;Rock;4:00;2000-04-15;2000-07-01;12;3;0:4:00;0 days 00:04:00.000000000;2000-04-15;2000-07-01
3514;My Love Is Your Love;Houston, Whitney;Rock;4:16;1999-09-04;2000-01-08;12;8;0:4:16;0 days 00:04:16.000000000;1999-09-04;2000-01-08
3515;I Wanna Know;Joe;Rock;4:57;2000-01-01;2000-07-01;12;25;0:4:57;0 days 00:04:57.000000000;2000-01-01;2000-07-01
3516;Get It On.. Tonite;Jordan, Montell;Rap;4:34;1999-10-23;2000-02-12;12;20;0:4:34;0 days 00:04:34.000000000;1999-10-23;2000-02-12
3517;Bye Bye Bye;N'Sync;Rock;3:15;2000-01-29;2000-04-15;12;4;0:3:15;0 days 00:03:15.000000000;2000-01-29;2000-04-15
3518;The Real Slim Shady;Eminem;Rap;4:42;2000-05-06;2000-06-24;12;9;0:4:42;0 days 00:04:42.000000000;2000-05-06;2000-06-24
3519;Most Girls;Pink;Rock;4:06;2000-08-12;2000-11-25;12;5;0:4:06;0 days 00:04:06.000000000;2000-08-12;2000-11-25
3520;Gotta Tell You;Mumba, Samantha;Rock;3:19;2000-09-09;2000-12-09;12;5;0:3:19;0 days 00:03:19.000000000;2000-09-09;2000-12-09
3521;Bring It All To Me;Blaque;Pop;3:46;1999-10-23;2000-01-22;12;9;0:3:46;0 days 00:03:46.000000000;1999-10-23;2000-01-22
3522;Hot Boyz;"Elliott, Missy ""Misdemeanor""";Rap;3:51;1999-11-27;2000-01-08;12;11;0:3:51;0 days 00:03:51.000000000;1999-11-27;2000-01-08
3523;I Try;Gray, Macy;Rock;3:52;2000-02-19;2000-05-20;12;7;0:3:52;0 days 00:03:52.000000000;2000-02-19;2000-05-20
3524;This I Promise You;N'Sync;Rock;4:23;2000-09-30;2000-12-02;12;7;0:4:23;0 days 00:04:23.000000000;2000-09-30;2000-12-02
3525;No More;Ruff Endz;Rock;3:56;2000-07-01;2000-09-02;12;8;0:3:56;0 days 00:03:56.000000000;2000-07-01;2000-09-02
3526;Show Me The Meaning Of Being Lonely;Backstreet Boys, The;Rock;3:54;2000-01-01;2000-03-18;12;6;0:3:54;0 days 00:03:54.000000000;2000-01-01;2000-03-18
3527;Absolutely (Story Of A Girl);Nine Days;Rock;3:09;2000-05-06;2000-07-22;12;6;0:3:09;0 days 00:03:09.000000000;2000-05-06;2000-07-22
3528;That's The Way It Is;Dion, Celine;Rock;4:03;1999-11-13;2000-03-04;12;8;0:4:03;0 days 00:04:03.000000000;1999-11-13;2000-03-04
3529;All The Small Things;Blink-182;Rock;2:52;1999-12-04;2000-02-19;12;6;0:2:52;0 days 00:02:52.000000000;1999-12-04;2000-02-19
3530;Blue (Da Ba Dee);Eiffel 65;Electronica;3:29;1999-12-11;2000-01-29;12;19;0:3:29;0 days 00:03:29.000000000;1999-12-11;2000-01-29
3531;Bag Lady;Badu, Erkyah;Rock;5:03;2000-08-19;2000-10-07;12;11;0:5:03;0 days 00:05:03.000000000;2000-08-19;2000-10-07
3532;There U Go;Pink;Rock;3:23;2000-03-04;2000-04-08;12;17;0:3:23;0 days 00:03:23.000000000;2000-03-04;2000-04-08
3533;Higher;Creed;Rock;5:16;1999-09-11;2000-07-22;12;57;0:5:16;0 days 00:05:16.000000000;1999-09-11;2000-07-22
3534;(Hot S**t) Country Grammar;Nelly;Rap;4:17;2000-04-29;2000-09-16;12;30;0:4:17;0 days 00:04:17.000000000;2000-04-29;2000-09-16
3535;Wifey;Next;Rock;4:03;2000-05-27;2000-09-09;12;20;0:4:03;0 days 00:04:03.000000000;2000-05-27;2000-09-09
3537;It Feels So Good;Sonique;Rock;3:48;2000-01-22;2000-04-22;12;13;0:3:48;0 days 00:03:48.000000000;2000-01-22;2000-04-22
3538;Oops!.. I Did It Again;Spears, Britney;Rock;3:30;2000-04-22;2000-06-10;12;15;0:3:30;0 days 00:03:30.000000000;2000-04-22;2000-06-10
3539;Shape Of My Heart;Backstreet Boys, The;Rock;3:49;2000-10-14;2000-12-02;12;19;0:3:49;0 days 00:03:49.000000000;2000-10-14;2000-12-02
3540;Wonderful;Everclear;Rock;4:30;2000-07-08;2000-09-30;12;25;0:4:30;0 days 00:04:30.000000000;2000-07-08;2000-09-30
3541;Between Me And You;Ja Rule;Rap;4:05;2000-09-16;2000-11-18;12;14;0:4:05;0 days 00:04:05.000000000;2000-09-16;2000-11-18
3542;I Need You;Rimes, LeAnn;Country;3:42;2000-05-27;2000-08-12;12;11;0:3:42;0 days 00:03:42.000000000;2000-05-27;2000-08-12
3543;Then The Morning Comes;Smash Mouth;Rock;3:04;1999-10-30;2000-01-29;12;15;0:3:04;0 days 00:03:04.000000000;1999-10-30;2000-01-29
3544;I Just Wanna Love U (Give It 2 Me);Jay-Z;Rap;3:50;2000-10-28;2000-12-30;12;12;0:3:50;0 days 00:03:50.000000000;2000-10-28;2000-12-30
3545;Let's Get Married;Jagged Edge;Rock;4:23;2000-05-06;2000-07-29;12;15;0:4:23;0 days 00:04:23.000000000;2000-05-06;2000-07-29
3546;Take A Picture;Filter;Rock;4:23;1999-11-27;2000-02-05;12;13;0:4:23;0 days 00:04:23.000000000;1999-11-27;2000-02-05
3547;She Bangs;Martin, Ricky;Latin;4:02;2000-10-07;2000-12-02;12;29;0:4:02;0 days 00:04:02.000000000;2000-10-07;2000-12-02
3548;Shake Ya Ass;Mystikal;Rap;4:46;2000-08-12;2000-10-28;12;13;0:4:46;0 days 00:04:46.000000000;2000-08-12;2000-10-28
3549;Back Here;BBMak;Rock;3:35;2000-04-29;2000-07-29;12;15;0:3:35;0 days 00:03:35.000000000;2000-04-29;2000-07-29
3550;From The Bottom Of My Broken Heart;Spears, Britney;Rock;4:30;2000-01-29;2000-02-26;12;45;0:4:30;0 days 00:04:30.000000000;2000-01-29;2000-02-26
3551;Never Let You Go;Third Eye Blind;Rock;3:57;2000-01-22;2000-04-01;12;16;0:3:57;0 days 00:03:57.000000000;2000-01-22;2000-04-01
3552;Otherside;Red Hot Chili Peppers;Rock;4:13;2000-02-12;2000-05-27;12;29;0:4:13;0 days 00:04:13.000000000;2000-02-12;2000-05-27
3553;Liar;Profyle;R&B;3:57;2000-09-16;2000-10-28;12;43;0:3:57;0 days 00:03:57.000000000;2000-09-16;2000-10-28
3554;Pinch Me;Barenaked Ladies;Rock;3:46;2000-09-09;2000-11-25;12;15;0:3:46;0 days 00:03:46.000000000;2000-09-09;2000-11-25
3555;He Can't Love U;Jagged Edge;Rock;3:30;1999-12-11;2000-01-08;12;24;0:3:30;0 days 00:03:30.000000000;1999-12-11;2000-01-08
3556;Wobble Wobble;504 Boyz;Rap;3:35;2000-04-15;2000-05-06;12;70;0:3:35;0 days 00:03:35.000000000;2000-04-15;2000-05-06
3557;Desert Rose;Sting;Rock;3:52;2000-05-13;2000-08-26;12;19;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-08-26
3558;Big Pimpin';Jay-Z;Rap;3:55;2000-04-22;2000-07-08;12;18;0:3:55;0 days 00:03:55.000000000;2000-04-22;2000-07-08
3559;Only God Knows Why;Kid Rock;Rock;5:27;2000-02-19;2000-04-15;12;25;0:5:27;0 days 00:05:27.000000000;2000-02-19;2000-04-15
3560;Learn To Fly;Foo Fighters;Rock;3:55;1999-10-16;2000-01-22;12;22;0:3:55;0 days 00:03:55.000000000;1999-10-16;2000-01-22
3561;Goodbye Earl;Dixie Chicks, The;Country;4:19;2000-03-18;2000-05-06;12;88;0:4:19;0 days 00:04:19.000000000;2000-03-18;2000-05-06
3563;Bounce With Me;Lil Bow Wow;Rap;3:22;2000-08-19;2000-09-16;12;36;0:3:22;0 days 00:03:22.000000000;2000-08-19;2000-09-16
3564;Swear It Again;Westlife;Rock;4:07;2000-04-01;2000-07-01;12;25;0:4:07;0 days 00:04:07.000000000;2000-04-01;2000-07-01
3565;Meet Virginia;Train;Rock;3:55;1999-10-09;2000-01-22;12;21;0:3:55;0 days 00:03:55.000000000;1999-10-09;2000-01-22
3566;I Wish;Thomas, Carl;Rock;3:50;2000-03-25;2000-05-13;12;26;0:3:50;0 days 00:03:50.000000000;2000-03-25;2000-05-13
3568;I Think I'm In Love With You;Simpson, Jessica;Pop;3:32;2000-07-01;2000-08-12;12;38;0:3:32;0 days 00:03:32.000000000;2000-07-01;2000-08-12
3569;What's Your Fantasy;Ludacris;Rap;4:16;2000-09-30;2000-12-16;12;21;0:4:16;0 days 00:04:16.000000000;2000-09-30;2000-12-16
3570;Callin' Me;Lil' Zane;Rap;3:43;2000-07-29;2000-09-02;12;84;0:3:43;0 days 00:03:43.000000000;2000-07-29;2000-09-02
3571;Don't Say You Love Me;M2M;Pop;3:41;1999-11-20;2000-01-08;12;98;0:3:41;0 days 00:03:41.000000000;1999-11-20;2000-01-08
3572;Faded;SoulDecision;Rock;3:25;2000-07-08;2000-09-09;12;27;0:3:25;0 days 00:03:25.000000000;2000-07-08;2000-09-09
3573;Yes!;Brock, Chad;Country;3:22;2000-04-08;2000-07-01;12;27;0:3:22;0 days 00:03:22.000000000;2000-04-08;2000-07-01
3574;Shake Your Bon-Bon;Martin, Ricky;Latin;3:08;1999-11-20;2000-02-12;12;28;0:3:08;0 days 00:03:08.000000000;1999-11-20;2000-02-12
3575;You're A God;Vertical Horizon;Rock;3:45;2000-08-26;2000-11-04;12;23;0:3:45;0 days 00:03:45.000000000;2000-08-26;2000-11-04
3576;Separated;Avant;Rock;4:13;2000-04-29;2000-05-20;12;28;0:4:13;0 days 00:04:13.000000000;2000-04-29;2000-05-20
3577;Big Deal;Rimes, LeAnn;Country;3:03;1999-10-16;2000-01-01;12;23;0:3:03;0 days 00:03:03.000000000;1999-10-16;2000-01-01
3578;Stay The Night;IMx;Rap;3:37;1999-10-09;2000-01-08;12;36;0:3:37;0 days 00:03:37.000000000;1999-10-09;2000-01-08
3579;The Next Episode;Dr. Dre;Rap;2:38;2000-05-27;2000-07-29;12;27;0:2:38;0 days 00:02:38.000000000;2000-05-27;2000-07-29
3581;Crash And Burn;Savage Garden;Rock;4:41;2000-04-08;2000-05-27;12;39;0:4:41;0 days 00:04:41.000000000;2000-04-08;2000-05-27
3582;Don't Think I'm Not;Kandi;Rock;3:50;2000-08-05;2000-10-07;12;26;0:3:50;0 days 00:03:50.000000000;2000-08-05;2000-10-07
3583;I Like It;Sammie;Rock;4:09;2000-01-29;2000-04-15;12;24;0:4:09;0 days 00:04:09.000000000;2000-01-29;2000-04-15
3584;Broadway;Goo Goo Dolls;Rock;3:54;2000-04-22;2000-07-01;12;33;0:3:54;0 days 00:03:54.000000000;2000-04-22;2000-07-01
3585;I Wanna Be With You;Moore, Mandy;Pop;4:12;2000-06-17;2000-08-12;12;53;0:4:12;0 days 00:04:12.000000000;2000-06-17;2000-08-12
3586;Forgot About Dre;Dr. Dre;Rap;3:42;2000-01-22;2000-03-25;12;26;0:3:42;0 days 00:03:42.000000000;2000-01-22;2000-03-25
3587;Untitled (How Does It Feel);D'Angelo;R&B;7:10;2000-01-22;2000-02-19;12;44;0:7:10;0 days 00:07:10.000000000;2000-01-22;2000-02-19
3588;That's The Way;Messina, Jo Dee;Country;3:17;2000-06-24;2000-08-26;12;28;0:3:17;0 days 00:03:17.000000000;2000-06-24;2000-08-26
3589;My First Love;Avant;Rock;4:28;2000-11-04;2000-12-16;12;31;0:4:28;0 days 00:04:28.000000000;2000-11-04;2000-12-16
3590;A Puro Dolor (Purest Of Pain);Son By Four;Latin;3:30;2000-04-08;2000-08-19;12;48;0:3:30;0 days 00:03:30.000000000;2000-04-08;2000-08-19
3591;What'Chu Like;Da Brat;Rap;3:57;2000-06-03;2000-08-12;12;28;0:3:57;0 days 00:03:57.000000000;2000-06-03;2000-08-12
3592;Party Up (Up In Here);DMX;Rap;3:45;2000-02-26;2000-04-22;12;27;0:3:45;0 days 00:03:45.000000000;2000-02-26;2000-04-22
3593;Cowboy Take Me Away;Dixie Chicks, The;Country;4:51;1999-11-27;2000-01-29;12;27;0:4:51;0 days 00:04:51.000000000;1999-11-27;2000-01-29
3594;My Next Thirty Years;McGraw, Tim;Country;3:37;2000-10-21;2000-12-16;12;40;0:3:37;0 days 00:03:37.000000000;2000-10-21;2000-12-16
3595;Best Of Intentions;Tritt, Travis;Country;4:15;2000-08-19;2000-12-02;12;31;0:4:15;0 days 00:04:15.000000000;2000-08-19;2000-12-02
3596;Better Off Alone;Alice Deejay;Electronica;6:50;2000-04-08;2000-06-03;12;37;0:6:50;0 days 00:06:50.000000000;2000-04-08;2000-06-03
3597;Another Dumb Blonde;Hoku;Pop;3:47;2000-02-19;2000-04-08;12;56;0:3:47;0 days 00:03:47.000000000;2000-02-19;2000-04-08
