;rating;title;year;director0;runtime;genres0;actor0;actor1;actor2;actor3;tagline;outline;genres1;genres2;genres3;director1;genres4;genres5;genres6
2501;4.4;Stick 'Em Up;1950.0;John E. Blakeley;5700.0;Comedy;Jimmy Jewel;Ben Warriss;June Elvin;Lesley Osmond;;Two incompetent private detectives are hired to clear the name of a friend accused of robbery and murder. They wind up in a seedy Paris night club, and get into a fight, but finally prove their friend's innocence.;Crime;;;;;;
2533;6.6;Lord Jim;1925.0;Victor Fleming;4200.0;Drama;Percy Marmont;Shirley Mason;Noah Beery;Raymond Hatton;;Because he deserted his ship and passengers during a collision at sea, a ship's mate loses his certification...;;;;;;;
2536;6.2;Xscape;2000.0;Aaron Michael Lacey;8100.0;Drama;Emile Piscitelli;Ana Yudiskas;Markus Alexander;Tom Mangione;All Laws Are Not Moral.;In 2069, doctors have developed the technology to create human clones. After governmental legislation...;Mystery;Sci-Fi;Thriller;;;;
2538;;When a Man's a Man;1924.0;Edward F. Cline;;Western;John Bowers;Marguerite De La Motte;Robert Frazer;June Marlowe;;A June 7th, 1923 article in the Prescott Evening Courier (page 1, col. 8), states that this film was...;;;;;;;
2539;5.2;A Clown in Babylon;1999.0;Nick Taylor;6300.0;Drama;Charles Balcer;Brian Backer;Benny Benowitz;Gene Canfield;;Haunted by childhood memories of his father's murder, Frank Carroll, private detective/circus clown...;;;;;;;
2540;5.5;The Brides of Fu Manchu;1966.0;Don Sharp;5640.0;Adventure;Christopher Lee;Douglas Wilmer;Heinz Drache;Marie Versini;Better dead than wed!;Fu Manchu and his army of henchmen are kidnapping the daughters of prominent scientists and taking them to his remote island headquarters...;Crime;;;;;;
2546;;Hangman's Wharf;1950.0;Cecil H. Williamson;4380.0;Crime;John Witty;Genine Graham;Patience Rentoul;Gerald Nodin;;A doctor is framed for murder.;;;;;;;
2547;5.6;Student Bodies;1981.0;Mickey Rose;5160.0;Comedy;Kristen Riter;Matthew Goldsby;Jerry Belson;Joe Flood;13 1/2 Murders + 1423 Laughs = Student Bodies;A killer named the Breather tallies up a score of teenage bodies in this scathing parody of slasher films.;Horror;;;;;;
2549;6.3;Gustav Adolfs Page;1960.0;Rolf Hansen;5580.0;Drama;Liselotte Pulver;Curd J\xfcrgens;Ellen Schwiers;Walther Reyer;;Gustl Leubelfing, daughter of the mayor of Nuremberg adores the king of the Swedes. So she happily substitutes...;Romance;War;;;;;
2552;5.0;The Witness;1999.0;Geoffrey Edwards;5700.0;Action;John Heard;Christopher Heyerdahl;Patrick Thomas;Susan Almgren;He knows you know.;When a criminal threatens husband and wife, their family and their business, their son is the prime target. With the help of one of their employees, the son goes on the run to find safety.;Comedy;Family;Thriller;;;;
2553;6.8;The Prisoner of Second Avenue;1975.0;Melvin Frank;5880.0;Comedy;Jack Lemmon;Anne Bancroft;Gene Saks;Elizabeth Wilson;...and you think you've got problems.;A suddenly unemployed ex-executive suffers a nervous breakdown.;;;;;;;
2555;;Gul-e-Bakavali;1924.0;Kanjibhai Rathod;;Fantasy;Zubeida;Fatma Begum;Sultana;Khalil;;One of the most successful silent films tells the folk-fantasy legend of the fairy Bakavali (Zubeida)...;;;;;;;
2558;5.2;Fog Island;1945.0;Terry O. Morse;4320.0;Drama;George Zucco;Lionel Atwill;Jerome Cowan;Sharon Douglas;STARTLING...The Amazing Tale Of A Fog Swept Place Of Terror!;A man invites a group of people to a holiday in his island home, intending to exact revenge on them.;Horror;Mystery;Romance;;Thriller;;
2561;6.7;Qi mian ren;1975.0;Hsueh Li Pao;5520.0;Action;David Chiang;Kuan Tai Chen;Danny Lee;Chung Wang;;With the cast list, you would almost expect this to be another Chang Cheh film. Two of Chang's proteges...;Drama;;;;;;
2564;7.1;Devlet Kusu;1980.0;Memduh \xdcn;4740.0;Comedy;Kemal Sunal;Serpil \xc7akmakli;H\xfcseyin Kutman;Reha Yurdakul;;"Indirect satire dramatization on the differences between social classes features a lazy but handsome underdog and a high-class society girl who falls in love with him just because he looks like ""Jean-Paul Belmondo"" in her starry dreams.";Drama;;;;;;
2575;;The Invincible Far East;1970.0;In-hyeon Choi;5400.0;Action;Kung-won Nam;Jeong-im Nam;Jang-kang Heo;Dae-yeob Lee;;Korean-American Kim Dong-won plans to visit Korea for the first time. On the way there, Chinese agents...;;;;;;;
2578;5.8;Paradise Found;2003.0;Mario Andreacchio;5580.0;Biography;Kiefer Sutherland;Nastassja Kinski;Alun Armstrong;Thomas Heinze;The sensual journey of one of the most influential artists of our time.;A successful 19th century French stockbroker (Sutherland) leaves his profession to become an artist in Paris.;Drama;;;;;;
2579;;Ticket of Leave;1936.0;Michael Hankinson;4140.0;Crime;Dorothy Boyd;John Clements;George Merritt;Max Kirby;;A young crook meets a lady in the same business as himself, and finds she is more than a match for him.;;;;;;;
2581;7.4;Offside;2000.0;Serdar Akar;7200.0;Drama;Fatih Akyol;M\xfcjde Ar;Akasya Asilt\xfcrkmen;Sezai Aydin;Life is like football;Thirtysomething Suat still lives with his parents and works at his father's store when not practicing as goalie for the local football team...;Sport;;;;;;
2583;7.9;Céleste;1970.0;Michel Gast;5400.0;;;;;;;;;;;;;;
2589;7.6;Become an Artist;1982.0;William Farley;;;;;;;;;;;;George Manupelli;;;
2590;6.9;The Aerodrome;1983.0;Giles Foster;5460.0;Drama;Peter Firth;Richard Johnson;Richard Briers;Dominic Jephcott;;In the future England is ruled by a fascist government, and one day the leaders begin the construction of a heavily guarded, mysterious airport.;Sci-Fi;;;;;;
2592;;Grama Kanya;1936.0;Sarvottam Badami;10020.0;;;;;;;;;;;;;;
2596;;Bacanal de Colegiais;1983.0;Juan Bajon;5400.0;Drama;V\xe2nia Bonier;Coriolano Campos;Eudes Carvalho;Tony Cassab;;A metalinguistics exercise in pornography: a blue movie is depicted on another blue movie.;;;;;;;
2600;6.9;Bonjour Amour;1977.0;Roger Andrieux;5880.0;Drama;Pascal Meynier;Guilhaine Dubos;Bruno Raffaelli;Alix Mahieux;;Adolescent French suburban lower-middle-class nerd Marc Morel was happy being the teacher's pet and school representative in a Latin competition...;;;;;;;
2608;4.2;Dark Asylum;2001.0;Gregory Gieras;4980.0;Thriller;Paulina Porizkova;Judd Nelson;Larry Drake;J\xfcrgen Prochnow;Terror is the only sane response.;A madman terrorizes a female psychologist when they are accidently locked up in an abandoned asylum.;Horror;;;;;;
2616;7.1;In Danger and Dire Distress the Middle of the Road Leads to Death;1974.0;Alexander Kluge;5400.0;Comedy;Dagmar B\xf6dderich;Jutta Winkelmann;Alfred Edel;Norbert Kentrup;;Two women with different goals in life are independently out on the town of Frankfurt am Main. One is an offbeat thief and the other an East German spy.;Drama;;;Edgar Reitz;;;
2617;;Love, Life and Laughter;1923.0;George Pearson;;Drama;Betty Balfour;Harry Jonas;Frank Stanmore;Annie Esmond;;A chorus girl, who dreams of being a music-hall star, falls for an impoverished author.;Romance;;;;;;
2620;6.3;Blow Dry;2001.0;Paddy Breathnach;5640.0;Comedy;Alan Rickman;Natasha Richardson;Rachel Griffiths;Rachael Leigh Cook;Love Is In The Hair;In 2000, a small town hosts The British Hairdressing Championship, where a former 2-time winner, his son, his run-away wife and his runaway wife's lady lover reside (not all on speaking terms).;Drama;Romance;;;;;
2622;5.6;Fedora;1942.0;Camillo Mastrocinque;5700.0;Drama;Luisa Ferida;Amedeo Nazzari;Osvaldo Valenti;Memo Benassi;;This first Italian-made feature film released in the United States following WWII relates the story of Russian Princess Fedora (Louise Ferida)...;Romance;;;;;;
2623;6.8;Zbabelec;1962.0;Jir\xed Weiss;5880.0;Drama;Daniela Smutn\xe1;Ladislav Chud\xedk;Oleg Strizhenov;Wilhelm Koch-Hooge;;In this moral study of heroism set in a remote Slovak village in the closing days of World War II, a...;War;;;;;;
2625;;The Hangman's Light;2002.0;;;Drama;Mary Atkins;Mandy Barrett;Troy Brownfield;Jeremy Buck;;MayJune Jones (named because she was born in August when the doctor predicted May or June), whose brother recently hanged himself...;Horror;Thriller;;;;;
2632;;Fine Feathers;1915.0;Joseph A. Golden;;Drama;Janet Beecher;David Powell;Lyster Chambers;Alberta Gallatin;;Temptation to cheat comes in the way of a young couple in reward for which the wife can escape from...;;;;;;;
2652;;Season of the Boys;1997.0;Ho Tam;;Fantasy;;;;;;A random encounter leads to film of Hot Asian guys playing basketball. A short exploration of youth and beauty, athletics, voyeuristic desire, and poetic longing.;;;;;;;
2654;5.3;Satan's Little Helper;2004.0;Jeff Lieberman;5760.0;Comedy;Alexander Brickel;Katheryn Winnick;Stephen Graham;Amanda Plummer;Your house is next.;A naive young boy unknowingly becomes the pawn of a serial killer.;Horror;;;;;;
2655;5.7;Sette ore di violenza per una soluzione imprevista;1973.0;Michele Massimo Tarantini;5580.0;Action;George Hilton;Rosemary Dexter;Steffen Zacharias;Iwao Yoshioka;;A former hitman is blackmailed into doing one more job. The hit doesn't go as planned and he winds up...;;;;;;;
2661;6.0;Gesucht wird Majora;1949.0;Hermann Pfeiffer;5400.0;Crime;Lotte Koch;Hermann Speelmans;Camilla Horn;Harald Paulsen;;The discoverer and patent holder of a synthetic fiber named 'Majora ', dies in captivity, but he previously...;;;;;;;
2663;7.2;The Savage Eye;1960.0;Ben Maddow;4080.0;Drama;Barbara Baxley;Gary Merrill;Herschel Bernardi;Jean Hidey;"POET: ""What's you name, traveller?"" WOMAN: ""Judith X"" POET: ""What's the X?"" WOMAN: ""X-Mcguire. I'm divorced."" POET: ""Alone?"" WOMAN: ""Alone"" POET: ""Why?"" WOMAN ""Because the touch of human skin makes me sick!""";This drama takes the form of a story told using documentary material as an intrinsic part of the narrative...;;;;Sidney Meyers;;;
2667;;Garabatos Alady;1944.0;Enrique Diban;;Animation;Alady;;;;;Short animation film from the series 'Garabatos'.;;;;;;;
2672;7.9;Hard Boiled;1992.0;John Woo;7680.0;Action;Yun-Fat Chow;Tony Chiu Wai Leung;Teresa Mo;Philip Chan;As a cop, he has brains, brawn, and an instinct to kill.;A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.;Crime;Drama;Thriller;;;;
2673;6.4;Bruce, King of Kung Fu;1982.0;Darve Lau;5160.0;Action;Bruce Le;Kien Shih;Kwok Choi Hon;Bolo Yeung;The undefeated faces his toughest opponent;A semi-biography of a young Bruce lee. Somewhat accurate account of Bruce Lee(Lee Shiao-Lung) striving...;Drama;;;Bruce Le;;;
2675;4.6;The Woman Eater;1958.0;Charles Saunders;4200.0;Horror;George Coulouris;Robert MacKenzie;Norman Claridge;Marpessa Dawn;REIGN OF TERROR FROM EARTH! (original ad - all caps);A mad scientist captures women and feeds them to a flesh-eating tree, which in turn gives him a serum that helps bring the dead back to life.;Sci-Fi;;;;;;
2680;6.7;The Far Frontier;1948.0;William Witney;4020.0;Western;Roy Rogers;Trigger;Gail Davis;Andy Devine;Roy Battles Border Smugglers! Thrills ripped from today's headlines... The shock story of the year!;Willis Newcomb and Bart Carroll head a gang engaged in smuggling wanted-American criminals back into the United States from Mexico...;;;;;;;
2685;4.4;Moray;1994.0;Ken Waller;;Adult;Michael Coleman;Johanna Mattox;Mercedes Moore;Shelby Stevens;;A giant monster eel attacks a group of high school students on a rafting trip down the American river. The government sends super agent Max Uzi to investigate the killings.;Horror;;;;;;
2691;6.9;Last of the Dogmen;1995.0;Tab Murphy;7080.0;Adventure;Tom Berenger;Barbara Hershey;Kurtwood Smith;Steve Reevis;A journey of the heart. The adventure of their lives.;A Montana bounty hunter is sent into the wilderness to track three escaped prisoners. Instead he sees something that puzzles him...;Western;;;;;;
2697;4.8;Bad boy dak gung;2000.0;Wai Man Yip;6300.0;Action;Ekin Cheng;Louis Koo;Qi Shu;Kristy Yang;;(Cantonese with English subtitles) The Bad Boy Squad is a private detective company that reunites lost loves...;Comedy;Drama;Romance;;;;
2706;6.5;At the Service of Spanish Womanhood;1978.0;Jaime de Armi\xf1\xe1n;5940.0;Drama;Marilina Ross;Adolfo Marsillach;Mary Carrillo;Amparo Bar\xf3;;A sexually dissatisfied woman is confronted with a man who is the victim of a puritanic education.;;;;;;;
2711;6.1;Roaring Six Guns;1937.0;J.P. McGowan;3420.0;Action;Kermit Maynard;Mary Hayes;Sam Flint;John Merton;A Gun Powder Hero Hits the Trail!;Sinclair has a government lease on range land that is about to expire. George Ringold wants the land and hires Roberts and his men...;Drama;Music;Romance;;Western;;
2719;2.0;To Catch a Yeti;1995.0;Bob Keen;5700.0;Action;Meat Loaf;Chantellese Kent;Richard Howland;Jim Gordon;Big Jake's after Bigfoot in the Big Apple. It's the biggest chase this town has ever seen.;While trying to escape hunters, Hank the Yeti finds himself befriending a American family in a big city.;Comedy;Family;Fantasy;;;;
2720;6.4;Federal Bullets;1937.0;Karl Brown;3660.0;Crime;Milburn Stone;Zeffie Tilbury;Terry Walker;William Harrigan;G-MAN AND BLONDE TRAPPED IN GANG HIDEOUT! That's when the excitement starts and it never stops in this smashing thriller! (original poster);When the Bureau of Investigation (so-called because Monogram didn't have J. Edgar's stamp of approval) learns that wealthy philanthropist Mrs...;Drama;Mystery;Romance;;;;
2723;6.9;The Next of Kin;1942.0;Thorold Dickinson;6120.0;Drama;Mervyn Johns;John Chandos;Nova Pilbeam;Reginald Tate;;"Wartime propaganda piece giving the warning ""Be like Dad, Keep Mum"". A gossipy housewife is overheard talking about what her son is doing by a Nazi spy.";Mystery;Thriller;War;;;;
2725;7.6;The Human Bullet;1968.0;Kihachi Okamoto;6960.0;Drama;Minori Terada;Naoko \xd4tani;Y\xfbnosuke It\xf4;Shinsuke Achiwa;;During World War II, a Japanese soldier finds himself assigned to a kamikaze mission against a U.S. battleship.;War;;;;;;
2732;6.3;Under a Cloud;1937.0;George King;4020.0;Crime;Edward Rigby;Betty Ann Davies;Hilda Bayley;Bernard Clifton;;Jimmy Forbes returns home from Australia after 20 years on the run, to find that his wife has become wealthy and well-to-do through inheritance...;;;;;;;
2739;5.4;Lightning Jack;1994.0;Simon Wincer;5880.0;Comedy;Paul Hogan;Cuba Gooding Jr.;"Angelo"" (u";Kamala Lopez;A comedy about two outlaws who just wanted to be wanted.;Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage...;Western;;;;;;
2746;5.8;The Occupant;1984.0;Ronny Yu;5760.0;Comedy;Yun-Fat Chow;Sally Yeh;Raymond Bak-Ming Wong;Kit-Man Mak;;Angie goes to Hong Kong to work on a Master's thesis focusing on the Chinese superstition. She rents a spacious apartment, without knowing it's haunted by the ghost of a singer.;Horror;;;;;;
2759;7.1;Hitler Superstar;1974.0;Ernst Bruun Olsen;4500.0;Comedy;Poul Glargaard;J\xf8rgen Kiil;Buster Larsen;Henning Moritzen;;Adolf Hitler survives World War II, live in the 70s Denmark.;Musical;;;;;;
2770;6.1;Prairie Gunsmoke;1942.0;Lambert Hillyer;3360.0;Western;Tex Ritter;Bill Elliott;Frank Mitchell;Virginia Carroll;Running down outlaws! whooping up songs!;To win possession of the ranches he holds mortgages on, crooked banker Jim Kelton (Tristram Coffin)...;;;;;;;
2780;6.8;Up in Mabel's Room;1944.0;Allan Dwan;4560.0;Comedy;Marjorie Reynolds;"Keefe"" (u";Gail Patrick;Mischa Auer;;Newly-married Gary Ainsworth once gave his former sweetheart Mabel a sexy negligee with his initials embroidered in the lacework. It is Gary's unenviable task to retrieve the incriminating undergarment from Mabel's room.;;;;;;;
2781;6.8;Danger on the Air;1938.0;Otis Garrett;4200.0;Crime;Nan Grey;Donald Woods;Jed Prouty;Berton Churchill;"100 WITNESSES WERE PRESENT When Mr. Kluck Was Murdered! See if you can spot the killer in 'DANGER on the AIR"" (original poster)";Caesar Kluck, soft-drink magnate, is found dead in the office of a big radio-broadcasting company. Benjamin Franklin Butts...;Drama;Mystery;;;;;
2785;6.5;Go-Con! Japanese Love Culture;2000.0;Nobuyuki Shintani;6000.0;Comedy;Ryuta Kawabata;Ryoji Ando;Kazuhito Kosaka;Rina Uchiyama;;Go-Con is a fashionable Japanese-English word often used by young and trendy Japanese. It means hanging...;Romance;;;;;;
2786;6.6;Tears of the Sun;2003.0;Antoine Fuqua;7260.0;Action;Bruce Willis;Cole Hauser;Monica Bellucci;Eamonn Walker;The only thing necessary for the triumph of evil is for good men to do nothing.;A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.;Drama;Thriller;War;;;;
2790;;Na wlasna prosbe;1980.0;Ewa Petelska;5940.0;Drama;Andrzej Zarnecki;Bogusz Bilewski;Krzysztof Chamiec;Andrzej Gawronski;;The story is of an engineer in conflict with his superior. He won't go along with the ususal corruption and conformity...;;;;Czeslaw Petelski;;;
2797;7.1;George Washington Slept Here;1942.0;William Keighley;5580.0;Comedy;Jack Benny;Ann Sheridan;Charles Coburn;Percy Kilbride;YOU'LL GET HAPPY HYSTERICS in this history-mocking comedy;When Bill and Connie Fuller are forced to move out of their Manhattan apartment because of their pet dog, Connie persuades Bill to buy a dilapidated old Pennsylvania house that George Washington allegedly slept in.;;;;;;;
2801;6.6;The Compromise;1974.0;Mohammad Motevaselani;6000.0;Comedy;Behrouz Vossoughi;Nuri Kasrai;Aramais Vartan Yousefians;Nooshafarin;;A thief accidentally overhears a phone call in which the caller lies to his wife while cheating on her. Thief decides to blackmail him.;;;;;;;
2804;8.1;Ritzar bez bronya;1966.0;Borislav Sharaliev;5100.0;Drama;Apostol Karamitev;Oleg Kovachev;Mariya Rusalieva;Tzvyatko Nikolov;;Impersonating a knight is one of the favorite games of nine-year-old protagonist. Now as Don Quixote...;Family;;;;;;
2805;5.8;The Jazz Singer;1952.0;Michael Curtiz;6420.0;Drama;Danny Thomas;Peggy Lee;Eduard Franz;Mildred Dunnock;It's joy set to music. A story that sings out to your heart.;Jerry dreams to become a famous jazz singer. But in order to accomplish that, he must defy his father, a Jewish Cantor, who is opposed to such dream as a future for his son.;Music;Romance;;;;;
2814;6.9;Naboerne;1966.0;Bent Christensen;5580.0;Comedy;Ebbe Rode;Hanne Borchsenius;John Price;Grethe S\xf8nck;;Taking place on a small villa road: The two neighbors Gormsen and Sandelund have been at a dispute for years and this evolves into an all out war...;;;;;;;
2820;;Sex Man'yôshû: shabon-dama densetsu;1988.0;Tadafumi Tomioka;3480.0;Romance;Rina Hayasaka;Koji Kagawa;Kanako Kishi;Takashi Sawa;;After her boyfriend breaks her heart a bathhouse prostitute recalls the good time she had with a businessman customer from her hometown, and returns there to find him.;;;;;;;
2827;6.9;Conjugal Warfare;1974.0;Joaquim Pedro de Andrade;5580.0;Comedy;Lima Duarte;Joffre Soares;Carmem Silva;Carlos Greg\xf3rio;;Many stories revolving around a poor couple who, in spite of hating each other, still live together under the same roof.;;;;;;;
2830;7.3;Ruta Wakening;1996.0;Steve Bilich;6120.0;Comedy;John Ellison;Scott Calonico;;;Love, Infidelity and Angels;Shakespeare's A Midsummer's Night Dream , in and out of a coffee shop.;;;;;;;
2836;6.4;DragonHeart;1996.0;Rob Cohen;6180.0;Action;Dennis Quaid;Sean Connery;Dina Meyer;Pete Postlethwaite;You will believe.;The last dragon and a disillusioned dragonslaying knight must cooperate to stop an evil king who was given partial immortality.;Adventure;Fantasy;;;;;
2840;7.6;Banovic Strahinja;1981.0;Vatroslav Mimica;6300.0;Action;Franco Nero;Dragan Nikolic;Sanja Vejnovic;Rade Serbedzija;;In late 14th century medieval Serbia becomes the target of Ottoman invaders. One of their renegade gangs...;Biography;Drama;History;;Romance;;
2847;6.4;West of Cheyenne;1931.0;Harry S. Webb;3360.0;Western;Tom Tyler;Josephine Hill;Harry Woods;Fern Emmett;;With his father accused of murder, Tom heads after the real murderer who lives in a town of outlaws where no one is allowed in or out...;;;;;;;
2850;6.3;Trail of the Rustlers;1950.0;Ray Nazarro;3300.0;Western;Charles Starrett;Gail Davis;Tommy Ivo;Mira McKinney;Sizzling Starrett Action! Sparkling Smiley Rhythms!;Trying to acquire all the land in the Rio Perdido valley, Chick Mahoney (Don Harvey), Jed Mahoney (Myron Healey) and their gang...;;;;;;;
2851;4.9;I daimonismeni;1975.0;Dimis Dadiras;5820.0;Horror;Katia Dandoulaki;Vasilis Mitsakis;Yannis Himonidis;Amalia Giza;;Katia Dandoulaki plays a psychiatrist who struggles to break free from schizophrenia. A priest tries...;Mystery;;;;;;
2856;7.3;Blue Money;1985.0;Colin Bucksey;4920.0;Comedy;Tim Curry;Debby Bishop;Billy Connolly;Dermot Crowley;He stole the money - now they're coming to get him! [Video Australia];Larry dreams of becoming a star entertainer, but until then he drives a cab and works as chauffeur for the shady Ramirez...;Crime;;;;;;
2861;6.5;That's the Ticket;1940.0;Redd Davis;3780.0;Comedy;Sid Field;Hal Walters;Betty Lynne;Gus McNaughton;;Cloakroom attendants have to dress up in outlandish disguises to foil spies in Paris.;;;;;;;
2871;7.0;Rakas lurjus;1955.0;T.J. S\xe4rkk\xe4;6120.0;Comedy;Ansa Ikonen;Edvin Laine;Joel Rinne;Irja Kuusla;;It is a time of extreme housing shortage in Helsinki. People with room in their flats are required either...;;;;;;;
2874;6.5;Stunt Squad;1977.0;Domenico Paolella;5520.0;Action;Marcel Bozzuffi;Vittorio Mezzogiorno;Riccardo Salvino;Nello Pazzafini;;After criminal gangs wreak havoc in the streets of Italy, a take-no-guff police commissioner forms a highly trained band of motorcycle riding cops to stop them.;Crime;Thriller;;;;;
2878;;Jiokui 49il;1979.0;Doo-yong Lee;6300.0;War;Il-ju Yun;Hye-jin Jo;Kil-su Hyeon;Hae-rim Lim;;A battalion of North Korean soldiers sieze Eoluk Isalnd on the east coast of Korea. The villagers organize a resistance and set a date to strike back at the occupying force which is terrorizing the population.;;;;;;;
2883;6.6;Seven Days in January;1979.0;Juan Antonio Bardem;7440.0;Drama;Manuel Angel Egea;Fernando S\xe1nchez Polack;Madeleine Robinson;Jacques Fran\xe7ois;;After the death of Franco, the nostalgic fascist regime attempts to preserve the 1936's order.;;;;;;;
2885;4.5;May Wine;1990.0;Carol Wiseman;5100.0;Comedy;Joanna Cassidy;Lara Flynn Boyle;Guy Marchand;Paul Freeman;;Lorraine Devany is a successful businesswoman, she runs a boutique. She's married to Tom. They live...;Romance;;;;;;
2889;6.8;Angst;2003.0;Oskar Roehler;5520.0;Drama;Andr\xe9 Hennicke;Marie B\xe4umer;Vadim Glowna;Hilde Van Mieghem;Wie weit würdest Du für die Liebe gehen?;Angst is the story of a sensitive stage director, Robert, and his beautiful girlfriend Marie, a doctor in a children's clinic...;Romance;;;;;;
2894;7.3;Reflections of Murder;1974.0;John Badham;6000.0;Horror;Tuesday Weld;Joan Hackett;Sam Waterston;Lucille Benson;;The wife and mistress of the abusive headmaster of a boy's school plot and carry out his murder. They...;Thriller;Mystery;;;;;
2895;6.0;Tarnished Angel;1938.0;Leslie Goodwins;4020.0;Drama;Sally Eilers;Lee Bowman;Ann Miller;Alma Kruger;"Sensational Expose Of ""Miracle Racket""!";"The ex-fiancée of a young rich man becomes the companion of a jewel thief, forming a vaudeville act with face ""cure""...";;;;;;;
2897;5.2;Saatwan Aasman;1992.0;Mahesh Bhatt;7800.0;Drama;Vivek Mushran;Pooja Bhatt;Avtar Gill;Tanvi Azmi;;Two runaway people who meet each other and enjoy every movement of their life because they both know that death can call them anytime as one has got death sentence and other is suffering from a fatal disease which is getting worse.;;;;;;;
2907;6.4;A Brother's Kiss;1997.0;Seth Zvi Rosenfeld;5520.0;Drama;Nick Chinlund;Michael Raynor;Justin Pierce;Joshua Danowsky;;Two brothers, Lex and younger Mick, are living in Harlem. Mick is a policeman, and Lex, who spent youth...;;;;;;;
2909;4.7;Motive for Revenge;1935.0;Burt P. Lynwood;3600.0;Crime;Donald Cook;Irene Hervey;Doris Lloyd;Edwin Maxwell;;Bank teller Barry Webster is driven to stealing bank funds by his mother-in-law who continually nags...;Drama;Mystery;;;;;
2910;6.7;Tüzoltó utca 25.;1973.0;Istv\xe1n Szab\xf3;5820.0;Drama;Lucyna Winnicka;Margit Makay;K\xe1roly Kov\xe1cs;Andr\xe1s B\xe1lint;;Hungary's postwar history told through the dreams, nightmares, and memories of the inhabitants of an old house on the eve of it's destruction.;History;Romance;War;;;;
2912;5.7;Sette ore di violenza per una soluzione imprevista;1973.0;Michele Massimo Tarantini;5580.0;Action;George Hilton;Rosemary Dexter;Steffen Zacharias;Iwao Yoshioka;;A former hitman is blackmailed into doing one more job. The hit doesn't go as planned and he winds up...;;;;;;;
2914;7.3;Paramaatma;1994.0;Bapu;;Action;Mithun Chakraborty;Juhi Chawla;Amrish Puri;Shammi;;A devout priest must face-off against his atheist/trouble-maker brother.;Drama;Fantasy;;;;;
2918;7.5;Myrt and Marge;1933.0;Al Boasberg;3720.0;Comedy;Myrtle Vail;Donna Damerel;Ray Hedges;Eddie Foy Jr.;Carl Laemmle presents the Famous Radio Stars Myrt and Marge.;Myrt has a show chock full of talented performers that deserves to be on Broadway, but can't raise the necessary money...;;;;;;;
2919;4.5;Bashtata na yaytzeto;1991.0;Anri Kulev;6180.0;Fantasy;Ivaylo Hristov;Naum Shopov;Lyuben Chatalov;Stefan Mavrodiyev;;In the sky above the Mount Athos a huge bird appears, blocking the sun. All children disappear. Panic settles in...;;;;;;;
2931;6.8;Michael Sheli;1974.0;Dan Wolman;5700.0;Drama;Oded Kotler;Efrat Lavie;Moti Mizrahi;Dina Roitkoff;;Based on a novel by Amos Oz. A couple in Jerusalem before the six day war in 1967, fall in love, get married...;;;;;;;
2933;7.5;High Street;1976.0;Andr\xe9 Ernotte;5640.0;Drama;Annie Cordy;Mort Shuman;Bert Struys;Guy Verda;;David, an American Jewish painter in Brussels for an exhibit, becomes obsessed with Mimi, a mentally ill Belgium woman. As he uncovers the World War II roots of her disturbance, however, he increasingly manifests her symptoms.;;;;;;;
2936;5.0;Street of a Thousand Pleasures;1972.0;William Rotsler;4560.0;Action;Garth Ruger;Margo Mars;Sandy Jackson;Nancy Young;There's something in it for EVERYONE!;In a Middle Eastern country, a traveling American saves the life of the local sheik. In gratitude, the...;Adventure;;;;;;
2939;6.5;I Lost My Heart to a Turk;1969.0;Halit Refig;;Drama;Ahmet Mekin;Eva Bender;Seden Kiziltun\xe7;Aynur Akarsu;;I Lost My Heart to a Turk is the story of a German woman Eva Bender, who is deserted by a Turkish worker...;;;;;;;
2946;6.3;Mixed Blessings;1998.0;Nadine Bass;5580.0;Comedy;Timothy Bottoms;Rustam Branaman;Tom Bresnahan;Kelly Curtis;;A housewife tries to go into business for herself.;;;;;;;
2951;6.5;Brief Moment;1933.0;David Burton;4260.0;Drama;Carole Lombard;Gene Raymond;Donald Cook;Monroe Owsley;;A dissolute rich society boy marries a worldly nightclub singer, and she begins to have a wholly unexpected effect on him.;;;;;;;
2955;7.6;Autumn Spring;2001.0;Vladim\xedr Mich\xe1lek;6000.0;Comedy;Vlastimil Brodsk\xfd;Stella Z\xe1zvorkov\xe1;Stanislav Zindulka;Ondrej Vetch\xfd;A comedy for the ages.;Terminal prankster Frantisek Hána refuses to grow up and take certain responsibilities, despite his wife Emilie's constant badgering to do so...;Drama;Family;;;;;
2956;6.7;La Maldicion de la Llorona;1963.0;Rafael Baled\xf3n;4800.0;Horror;Rosita Arenas;Abel Salazar;Rita Macedo;Carlos L\xf3pez Moctezuma;;A young woman inherits a mansion, only to discover that it is haunted by witches and evil spirits.;Mystery;Thriller;;;;;
2958;6.0;Cuban Blood;2003.0;Juan Gerard;6540.0;Drama;Harvey Keitel;Iben Hjejle;Diana Bracho;Gael Garc\xeda Bernal;;The year is 1958, and in Holguín, Cuba, a boy's world is about to change forever.;Comedy;;;;;;
2961;4.8;A Mulher Sensual;1981.0;Ant\xf4nio Calmon;6720.0;Drama;Helena Ramos;Paulo Ramos;Maria Alves;Rodolfo Arena;;Famous soap opera actress finds out her sexuality after breaking up with her former boyfriend, an important TV executive.;;;;;;;
