;rating;title;year;director0;runtime;genres0;genres1;actor0;actor1;actor2;actor3;tagline;outline;genres2;genres3;director1;genres4;genres5
971;6.7;What Love Sees;1996.0;Michael Switzer;7200.0;Drama;;Richard Thomas;Annabeth Gish;August Schellenberg;Kathleen Noone;;Based on a true story, spanning fifteen years during the turmoil of the Second World War, this is an...;;;;;
973;6.3;Thunder Birds: Soldiers of the Air;1942.0;William A. Wellman;4680.0;Drama;Romance;Gene Tierney;Preston Foster;John Sutton;Jack Holt;For two pilots, one woman became a conflict of interest.;A veteran American flyer trains new recruits, including the acrophobic son of his dead war buddy. Complications arise when the younger man falls in love with his mentor's girl.;War;;;;
976;7.3;La tête d'un homme;1933.0;Julien Duvivier;5400.0;Crime;Mystery;Harry Baur;Val\xe9ry Inkijinoff;Alexandre Rignault;Gaston Jacquet;;Willy Ferriere is dead broke and his mistress costs a lot. One day, he says in a pub that he would give 100,000 francs to get rid of his wealthy aunt...;Thriller;;;;
982;6.6;Las manos sucias;1957.0;Jos\xe9 Antonio de la Loma;5700.0;Drama;;Amedeo Nazzari;Lidia Alfonsi;Katia Loritz;Francisco Piquer;;Miguel is a truck driver who dreams of owning a service station. To raise money he agrees to sabotage a truck of his boss' rival, which results in the death of its driver. Miguel gets his station but is haunted by what he did to obtain it.;;;Marcello Baldi;;
985;5.9;The Song of Roland;1978.0;Frank Cassenti;6600.0;Adventure;Drama;Klaus Kinski;Alain Cuny;Dominique Sanda;Pierre Cl\xe9menti;;In the 11th-century epic Roland des Roncesvalles is a legendary knight from the age of chivalry in France. He is depicted as a key figure in halting the advance of the Arabs into France.;Mystery;;;;
992;4.3;Prime Suspects;1997.0;James A. MacPherson;5400.0;Action;Thriller;Judith Stout;David Gordon;Charles Merlis;Lance McGinnis;When she died, did she make any sounds?;A cold-blooded killer infiltrates the lives of two actors who refuse to return stolen money that the killer claims belongs to him. A classic, film noir feast for the millenium.;;;;;
1002;5.7;Grand Jury;1976.0;Christopher Cain;6000.0;Crime;Drama;Leslie Nielsen;Bruce Davison;Barry Sullivan;Sharon Thomas Cain;;A man and his wife who are witnesses to a crime find themselves ensnared in a legal system that appears to be treating them as worse criminals than the ones they are supposed to testify against.;;;;;
1009;;The Conflict;1916.0;Ralph Ince;;Drama;;Lucille Lee Stewart;Jessie Miller;Huntley Gordon;Wilfred Lytell;;"Two women crave the love of the same man; one is pretty, proud, spirited, and poor; she offers him love...";;;;;
1010;;Enemigos;1934.0;Chano Urueta;3660.0;Drama;War;Miguel M. Delgado;Joaqu\xedn Busquets;Gaby Sorel;Dolores Camarillo;;The bride of a Federale colonel rejects him on their wedding night, and begins extramarital relations with a strapping young leader of the peasant revolution against which the colonel is fighting.;;;;;
1017;5.2;Scanners II: The New Order;1991.0;Christian Duguay;6240.0;Action;Horror;David Hewlett;Deborah Raffin;Yvan Ponton;Isabelle Mejias;He can make you do anything...if he puts his mind to it.;A scanner discovers a plot by renegade elements in the city government to take power with the help of evil scanners.;Sci-Fi;;;;
1020;7.8;Crossing the Lighthouse;1999.0;Thierry Redler;5760.0;;;;;;;;;;;;;
1024;6.3;The Dogs of War;1980.0;John Irvin;6120.0;Action;Adventure;Christopher Walken;Tom Berenger;Colin Blakely;Hugh Millais;Cry 'Havoc!' And Let Slip The Dogs Of War;Mercenary James Shannon, on a reconnaissance job to the African nation of Zangaro, is tortured and deported. He returns to lead a coup.;Drama;;;;
1030;6.8;El señor doctor;1965.0;Miguel M. Delgado;6780.0;Comedy;Drama;Cantinflas;Marta Romero;Miguel \xc1ngel \xc1lvarez;Prudencia Grifell;;It's about a country doctor that comes to the city while a clinic is built in his home town....he rubs off his care and compassion on others at the hospital with his humor and wit.;Family;;;;
1032;7.4;Tza'ad Katan;2003.0;Shahar Segal;5640.0;Drama;;Avi Nesher;Chelli Goldenberg;Yoav Koresh;Limor Goldstein;Every event in life has its signs.;Witnessing their good friend trying to cope with his cancer, three teenagers are determined to make him lose his virginity in case he doesn't survive.;;;;;
1049;7.4;Angele;1934.0;Marcel Pagnol;8700.0;Drama;;Orane Demazis;Fernandel;Henri Poupon;Jean Servais;;A young and naive peasant girl in Provence, who has been seduced and abandoned, moves to Marseilles and becomes a street-walker after having her baby.;;;;;
1051;6.6;The Bishop Misbehaves;1935.0;Ewald Andr\xe9 Dupont;5100.0;Comedy;Crime;Edmund Gwenn;"Sullivan"" (u";Lucile Watson;Reginald Owen;;On a walking tour of English cathedrals, Donald Meadows meets Hester Granthem in church. Hearing he is from that hot-bed of crime...;;;;;
1056;6.9;Preservation;2003.0;Sofya Gollan;3420.0;Romance;Drama;Jacqueline McKenzie;Jack Finsterer;Simon Burke;Fiona Martinelli;;A Colonial Gothic Love Triangle.;;;;;
1061;;Shop Angel;1932.0;E. Mason Hopper;4020.0;Drama;Romance;Marion Shilling;Holmes Herbert;Anthony Bushell;Walter Byron;;A dress designer is attracted to the fiancée of her boss' daughter, not knowing that her boss himself is in love with her.;;;;;
1063;6.5;A Perfect Murder;1998.0;Andrew Davis;6420.0;Crime;Drama;Michael Douglas;Gwyneth Paltrow;Viggo Mortensen;David Suchet;A powerful husband. An unfaithful wife. A jealous lover. All of them have a motive. Each of them has a plan.;"A remake of the Alfred Hitchcock classic ""Dial M for Murder"".";Thriller;;;;
1064;5.8;Devil Woman;1970.0;Jose Flores Sibal;;Horror;;Roger Calvin;Perla Bautista;Eddie Garcia;Divina Valencia;;A village witch who controls poisonous serpents sends them out to murder her enemies.;;;;;
1067;5.4;Thunder and Lightning;1977.0;Corey Allen;5700.0;Action;Adventure;David Carradine;Kate Jackson;Sterling Holloway;Patrick Cranshaw;It's 250 proof fun! - as they bust up the biggest moonshine racket in the country.;A young man who hauls liquor for moonshiners comes up against a competing gang of moonshiners who intend to get rid of him and take over his operation.;Comedy;Crime;;Romance;
1072;6.0;The Royal Diaries: Isabel - Jewel of Castilla;2000.0;William Fruet;1620.0;Drama;Family;Arturo Fresolone;Lisa Jakub;Cara Pifko;Christopher Ralph;;A fictional story about Queen Isabel of Spain as a teenaged princess.;History;;;;
1073;5.3;Taaqat;1995.0;Talat Jani;;Crime;Romance;Dharmendra;Shatrughan Sinha;Kajol;Vikas Bhalla;;Shakti Singh (Dharmendra) and Bhau (Shatrughan Sinha) are street Dada, always clashes takes place between them...;;;;;
1074;7.4;Gunpowder, Treason & Plot;2004.0;Gillies MacKinnon;12300.0;Drama;History;Vulpe Adrian;Carmen Ungureanu;Cl\xe9mence Po\xe9sy;Tadeusz Pasternak;;Mini series depicting the turbulent and bloody reigns of Scottish monarchs Mary, Queen of Scots and her son King James VI of Scotland who became King James I of England and foiled the Gunpowder Plot.;;;;;
1080;4.5;The Ghost That Walks Alone;1944.0;Lew Landers;3780.0;Comedy;Mystery;Arthur Lake;Janis Carter;Lynne Roberts;Frank Sully;IT'S A HOWL...Of A Murder Mystery!;Honeymooners find a dead radio producer in their suite.;Romance;;;;
1090;5.2;Buckskin;1968.0;Michael D. Moore;5820.0;Western;;Barry Sullivan;Joan Caulfield;Wendell Corey;Lon Chaney Jr.;He Bucked For A Badge...A Woman...And A Last Chance To Prove He Was Still A Man...Out Of The Prairie Rode The Gunfighter!;A marshal goes up against a crooked gambler and his henchmen who control a western town, but meets resistance from the local townspeople when he asks for their help.;;;;;
1096;6.6;Die Ameisenstraße;1995.0;Michael Glawogger;5220.0;Comedy;;Robert Meyer;Bibiane Zeller;Nikolaus Paryla;Monika Tajmar;;In the middle of Vienna stands an old tenement building, and time has left its mark both on the house and its inhabitants...;;;;;
1105;5.1;Demon in the Bottle;1996.0;Randall William Cook;5100.0;Adventure;Family;Ashley Tesoro;Michael Malota;Rahi Azizi;Michael Dubrow;;Four teenagers find a lost treasure buried by a 18th century pirate on a desert island. But they accidentally release the monster who lives inside a bottle, keeping the treasure.;Fantasy;;;;
1112;6.8;Woman in Love: A Story of Madame Bovary;1978.0;Kemal Horulu;5160.0;Adult;Romance;Laurien Dominique;Vanessa del Rio;Samantha Fox;Paul Thomas;A story of Madame Bovary;Cristine is another sexually frustrated woman with a pre-occupied husband working too hard for their mutual benefit...;;;;;
1116;7.6;Smart nyama;1963.0;Irina Aktasheva;5280.0;Drama;;Petar Slabakov;Grigor Vachkov;Djoko Rosic;Valentin Rusetzki;;The new supervisor Vasil arrives at the construction site of a dam. Vasil has problems with his men...;;;Hristo Piskov;;
1120;;Saved from the Sea;1920.0;W.P. Kellino;;Crime;;Nora Swinburne;Philip Anthony;Wallace Bosco;Terence Cavanagh;;In Cornwall a cardsharper and his an heir frame a fisherman for the death of their jealous partner.;;;;;
1123;6.0;Home to Danger;1951.0;Terence Fisher;3960.0;Crime;Drama;Guy Rolfe;Rona Anderson;Francis Lister;Alan Wheatley;;A drug dealer tries to kill his partner's daughter, when she inherits an old house.;Mystery;Romance;;Thriller;
1125;6.7;Transatlantic;1931.0;William K. Howard;4680.0;Comedy;Drama;Edmund Lowe;Lois Moran;John Halliday;Greta Nissen;;A scientist wants to build a tunnel between Europe and USA;;;;;
1127;5.1;Redwood Forest Trail;1950.0;Philip Ford;4020.0;Western;;Rex Allen;Jeff Donnell;Alfalfa;Jane Darwell;BLAZING NEW TRAILS! HERE'S THAT SHARP-SHOOTIN' SON OF THE SAGE-BRUSH...THE ARIZONA COWBOY...BACK IN ANOTHER BIG ACTION THRILLER! (original ad - all caps);Arthur Cameron has spent many years establishing the mountain forest community of New Horizon for underprivileged boys...;;;;;
1130;5.2;Born Reckless;1958.0;Howard W. Koch;4800.0;Drama;Music;Mamie Van Doren;Jeff Richards;Arthur Hunnicutt;Carol Ohmart;Thrill-a-minute, action cracking spectacle;Rider Kelly Cobb travels to county rodeos to win money so he can buy a patch of land he wants to call his own...;Romance;Sport;;Western;
1132;6.0;Astronauts;1997.0;Paul Berriff;;;;;;;;;;;;;;
1135;6.1;Grüß Gott, Genosse;1993.0;Manfred Stelzer;5100.0;Comedy;;J\xfcrgen Schmidt;Renate Kr\xf6\xdfner;Georg Marischka;Irm Hermann;;A Eastern-German teacher true to party principles moves to Bavaria after the German reunification. He takes up his old profession and fares well until a former student from East Germany enrolls in one of his classes.;;;;;
1152;;Thugs of Shinjuku;1970.0;Shin Takakuwa;5280.0;Action;;Bunta Sugawara;Makoto Sat\xf4;Shinichi Ruki;Kenji Ushio;;After release from jail, Katsumata forms a rag-tag gang calling themselves the Shinjuku Brothers. His...;;;;;
1159;7.1;Tonto Basin Outlaws;1941.0;S. Roy Luby;3600.0;Action;Adventure;Ray Corrigan;Dusty;Max Terhune;Elmer;THE RANGE BUSTERS MOST THRILLING ADVENTURE! (original print media ad - all caps);"Number 10 in Monogram's series of 24 ""Range Busters"" westerns, Crash Corrigan, Dusty King and Alibi Terhune...";Romance;War;;Western;
1165;4.2;The Lost Jungle;1934.0;David Howard;4080.0;Adventure;;Clyde Beatty;Cecilia Parker;Syd Saylor;Warner Richmond;;"Feature version of the 1934 Mascot serial ""The Lost Jungle.""";;;Armand Schaefer;;
1172;;Angry Eagles;1965.0;;;Drama;War;Yeong-gyun Shin;Hyeon-shil Tae;Hae Hwang;;;A junior highschool teacher flees North Korea prior to the war. He takes some of his students with him...;;;;;
1181;6.8;The Professional: Golgo 13;1983.0;Osamu Dezaki;5700.0;Animation;Action;Tetsur\xf4 Sagawa;Gregory Snegoff;Gor\xf4 Naya;Michael McConnohie;He shoots...he scores...he'll blow you away!;An infamous hit-man becomes the target of a powerful oil tycoon after the former kills the latter's son.;Crime;Drama;;Thriller;
1189;5.8;The Kirlian Witness;1979.0;Jonathan Sarno;4500.0;Thriller;;Nancy Snyder;Nancy Boykin;Joel Colodner;Ted Le Plat;Destined to become a cult Classic;Laurie believes that it's possible to communicate with plants via telepathy and devotes all her time and love to them...;;;;;
1190;6.9;Holding On;1999.0;Afonso Reis e Sousa;;;;;;;;;;;;;;
1195;7.1;Teacher's Pet;1958.0;George Seaton;7200.0;Comedy;Romance;Clark Gable;Doris Day;Gig Young;Mamie Van Doren;Their mixed-up romance adds up to this: GREAT DAY! GREAT GUY! GREAT FUN!;A newspaper editor joins the class of a journalism professor who despises him, and they begin to fall in love.;;;;;
1196;5.5;Our Shining Moment;1991.0;Mark Tinker;3600.0;Drama;;Cindy Pickett;Max Gail;Jonathan Brandis;Seth Green;;A bittersweet look at life in Middle America in 1963 as seen through the experiences of the McGuire family. a pilot which became a TV-series.;;;;;
1197;6.6;Winnetou: The Red Gentleman;1964.0;Harald Reinl;5640.0;Western;Adventure;Lex Barker;Pierre Brice;Anthony Steel;Karin Dor;They spread a reign of terror from the badlands of Oklahoma to the hell-hills of the Dakotas!;Forester, a ruthless oil baron, wants to create a war between the native American tribes and the white men. Old Shatterhand, Winnetou and their sidekick Castlepool try to prevent this.;;;;;
1209;6.1;Calling Bulldog Drummond;1951.0;Victor Saville;4800.0;Crime;Mystery;Walter Pidgeon;Margaret Leighton;Robert Beatty;David Tomlinson;The Screen's Master Manhunt!;"With a ruthless gang terrorizing London, Scotland Yard calls Hugh ""Bulldog"" Drummond out of retirement...";;;;;
1213;3.2;Bimbo Movie Bash;1997.0;Mike Mendez;4800.0;Comedy;Horror;Ian Abercrombie;Adrienne Barbeau;Michelle Bauer;Roxanne Blaze;;A squadron of outer space bimbos decide to take revenge on the male chauvinists of Earth.;Sci-Fi;;Dave Parker;;
1231;7.3;Afrodita;1993.0;Lubomir Kocka;4680.0;;;;;;;;;;;;;
1242;;Qiao Geer;1983.0;Donglin Yi;;Drama;Romance;Lili Fu;Lin Fu;Baoan Li;Jingsheng Liao;;Qiao Geer has 2 suitors and she favors one while her mother approves of the other.;;;Yumin Zhang;;
1247;4.6;Mulheres... Mulheres;1981.0;Carlos Imperial;4320.0;Drama;;Ros\xe2ngela Bernardes;Elys Cardoso;Cl\xe1udia Castelli;Dalia Drummond;;Fausto and Gilda who are married for a long time and love themselves deeply. But Gilda dies leaving...;;;;;
1249;5.9;Cupido pierde a Paquita;1955.0;Ismael Rodr\xedguez;5400.0;Comedy;;Mar\xeda Victoria;Julio Aldama;Carlos Orellana;Fernando Soto;;"Follow up to Los paquetes de Paquita. Paquita still works as a maid who aspires one day to become ""the lady of the house"". But this time, contrary to expectations, love will keep eluding her.";;;;;
1255;;Don't Marry;1928.0;James Tinling;3600.0;Comedy;;Lois Moran;Neil Hamilton;Henry Kolker;Claire McDowell;How a Modern Miss Made a Flaming Youth of Her Strait-Laced Boy Friend;"""Flapper"" Priscilla Bowen has her sights set on Henry Willoughby, a rather prim and proper lawyer with very old-fashioned ideas about women...";;;;;
1271;7.5;A Opção;1981.0;Ozualdo Ribeiro Candeias;5220.0;Drama;;Carmem Ang\xe9lica;Vilma Camargo;Nere de Passy;Jairo Ferreira;;The saga of rural women who decide to leave the countryside and get into prostitution. Their miserable lives are marked by fortuitous meetings with truck drivers, pimps, thieves and lunatics.;;;;;
1273;1.3;Rollergator;1996.0;Donald G. Jackson;4980.0;Family;;Sandra Shuker;Joe Estevez;Conrad Brooks;Jenette Lynne Hawkins;;A teen-age girl tries to help a small, purple, jive-talking alligator escape the clutches of a greedy carnival owner as well as as an assortment of characters so he can be reunited with his owner.;;;;;
1275;7.3;The Tiger Woman;1944.0;Spencer Gordon Bennet;11760.0;Adventure;Thriller;Allan Lane;Linda Stirling;Duncan Renaldo;George J. Lewis;BARBARIC THRILLS! Primitive pulse-pounding excitement! Savage combat with native warriors! Hair-raising encounters with man-eating beasts!;Greedy oil speculators, led by Morgan, are trying to force Tiger Woman and her band of warriors from their jungle home. Allen Saunders of Inter-Ocean Oil wants to develop the oil, too, but fights with Tiger Woman to stop the bad guys.;;;Wallace Grissell;;
1277;6.3;Fury at Showdown;1957.0;Gerd Oswald;4500.0;Drama;Western;John Derek;John Smith;Carolyn Craig;Nick Adams;;After serving a year for a killing in self-defense, gunfighter Brock Mitchell tries to help his younger brother save his ranch but a crooked lawyer has other ideas.;;;;;
1289;;The Final Hour;1936.0;D. Ross Lederman;3420.0;Drama;;Ralph Bellamy;Marguerite Churchill;John Gallaudet;George McKay;;An alcoholic attorney becomes embroiled in blackmail and murder when he continues to aid a falsely accused client.;;;;;
1291;5.1;Anja & Viktor;2001.0;Charlotte Sachs Bostrup;5400.0;Comedy;Romance;Robert Hansen;Sofie Lassen-Kahlke;Jonas G\xfclstorff;Karl Bille;;Highschool sweethearts Anja and Viktor find themselves in a lesser state of love when Anja graduates and gets a job in the city.;;;;;
1292;6.4;Space Cowboys;2000.0;Clint Eastwood;7800.0;Action;Adventure;Clint Eastwood;Tommy Lee Jones;Donald Sutherland;James Garner;Boys will be boys.;When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.;Thriller;;;;
1300;7.8;Roll, Freddy, Roll!;1974.0;Bill Persky;4380.0;Comedy;;Tim Conway;Jan Murray;Moosie Drier;Barra Grant;;A man determined to impress his son--and show up his son's stepfather--decides to try to get into the...;;;;;
1301;5.9;It Came from Beneath the Sea;1955.0;Robert Gordon;4740.0;Horror;Sci-Fi;Kenneth Tobey;Faith Domergue;Donald Curtis;Ian Keith;IT CRUSHES! KILLS! DESTROYS! (original print ad - all caps);A giant, radioactive octopus rises from the Philippine Trench to terrorize the North American Pacific Coast.;;;;;
1302;6.3;Sharky's Machine;1981.0;Burt Reynolds;7320.0;Action;Crime;Burt Reynolds;Rachel Ward;Vittorio Gassman;Brian Keith;Nobody leans on Sharky's Machine. [Theatrical];Tom Sharky is demoted to vice after a bust goes terribly wrong. He and his team stumble across a mob murder tied to prostitution and government.;Drama;Thriller;;;
1304;;Igen vagy nem?;1940.0;Viktor B\xe1nky;4380.0;;;;;;;;;;;;;
1313;6.3;Don't Go Near the Water;1957.0;Charles Walters;6420.0;Adventure;Comedy;Glenn Ford;Gia Scala;Earl Holliman;Anne Francis;THE LAUGH OF YOUR LIFE-TIME! (original print ad - all caps);On a small South Pacific island during WW2, various US Navy P.R. personnel pass the time romancing the nurses and the native girls while trying to avoid front line Sea Duty.;Romance;War;;;
1322;8.1;Würstelstand;2004.0;Nicolas Neuhold;;;;;;;;;;;;;;
1325;7.4;Visoki napon;1981.0;Veljko Bulajic;6180.0;Drama;Romance;Bozidarka Frajt;Vanja Drach;Milan Strljic;Ljubisa Samardzic;;After WW II many young people arrive to Zagreb, among them a young worker Sonja Kacar. She is supposed...;;;;;
1333;6.0;Affairs of Cappy Ricks;1937.0;Ralph Staub;3660.0;Comedy;Drama;Walter Brennan;Mary Brian;Lyle Talbot;Frank Shields;;Cappy Ricks, a crusty old sea captain, returns home from a long voyage to discover that his family and...;;;;;
1334;5.2;Buckskin;1968.0;Michael D. Moore;5820.0;Western;;Barry Sullivan;Joan Caulfield;Wendell Corey;Lon Chaney Jr.;He Bucked For A Badge...A Woman...And A Last Chance To Prove He Was Still A Man...Out Of The Prairie Rode The Gunfighter!;A marshal goes up against a crooked gambler and his henchmen who control a western town, but meets resistance from the local townspeople when he asks for their help.;;;;;
1337;6.0;Il figlioccio del padrino;1973.0;Mariano Laurenti;;;;;;;;;;;;;;
1343;6.9;The Fleet's In;1942.0;Victor Schertzinger;5580.0;Musical;Romance;Dorothy Lamour;William Holden;Eddie Bracken;Betty Hutton;Gobs of Stars!...Gobs of Laughs!...Gobs of Love!...Gobs of Songs! (original poster);Shy sailor Casey Kirby suddenly becomes known as a sea wolf when his picture is taken with a famous actress...;;;;;
1344;5.2;Policewoman Centerfold;1983.0;Reza Badiyi;6000.0;Drama;;Melody Anderson;Ed Marinaro;Greg Monaghan;Bert Remsen;;A policewoman recently divorced loses her job after she posed naked in a magazine's centerfold. Based on a true story.;;;;;
1346;;Excuse Me, Padre, Are You Horny?;1975.0;Salvatore Bugnatelli;5400.0;Drama;;Benjamin Lev;Salvatore Baccaro;Katia Chiani;Marzia Damon;;A young priest finds that he has problems fending off the advances of the beautiful and horny women who attend his Sunday services.;;;;;
1349;7.2;The Day of the Locust;1975.0;John Schlesinger;8640.0;Drama;Thriller;Donald Sutherland;Karen Black;Burgess Meredith;William Atherton;Hollywood in the Golden Age;An art director in the 1930s falls in love and attempts to make a young woman an actress despite Hollywood who wants nothing to do with her because of her problems with an estranged man and her alcoholic father.;;;;;
1350;4.3;Tintomara;1970.0;Hans Abramson;6540.0;;;;;;;;;;;;;
1356;5.1;Gunaah;1993.0;Mahesh Bhatt;;Action;;Sunny Deol;Dimple Kapadia;Sumeet Saigal;Anang Desai;;In Goa, India, the body of a young man is rescued by fishermen, who is then nursed to consciousness by Dr...;;;;;
1357;;The Greater Woman;1917.0;Frank Powell;3000.0;Drama;Romance;Marjorie Rambeau;Aubrey Beattie;Hassan Mussalli;Sara Haidez;;Farmer Leo Bannister is crazy about his neighbor Auriole Praed, but she finds him to becoming on too strong...;;;;;
1364;6.1;Welcome to Hard Times;1967.0;Burt Kennedy;6180.0;Drama;Western;Henry Fonda;Janice Rule;Keenan Wynn;Janis Paige;A town can be killed by a bullet...just like a man!;A sociopathic stranger all but destroys a small hardscrabble town but the 'mayor' convinces its survivors to stay and rebuild.;;;;;
1367;6.9;Aan Baan;1972.0;Prakash Mehra;;Drama;;Rajendra Kumar;Rakhee Gulzar;Kumkum;Pran;;Raja Bahadur rules his region, although fully aware that his days as King are numbered. Nevertheless...;;;;;
1372;2.4;Santa Claus;1959.0;Ren\xe9 Cardona;5640.0;Comedy;Family;Jos\xe9 El\xedas Moreno;Pulgarcito;Trotsky;Armando Arriola;An Enchanting World of Make-Believe!;With the aid of Merlin, Santa Claus must defeat the evil machinations of the devil Pitch to ruin Xmas.;Fantasy;Horror;;;
1378;;Brother;1969.0;;;Drama;;Hie Mun;Yeong-gyun Shin;;;;A man, recently released from prison after serving a sentence for murder, finds that his wife does not welcome him and his daughter is being treated as a servant by his brother.;;;;;
1381;5.8;The Cape of Hope;1951.0;Raymond Bernard;5400.0;Crime;Drama;Edwige Feuill\xe8re;Frank Villard;Jean Debucourt;Paolo Stoppa;;Lyria, a faded beauty who runs a seedy waterfront bar, is madly in love with Bob, a crooked attorney...;;;;;
1382;6.0;Ágrólszakadt úrilány;1943.0;\xc1kos R\xe1thonyi;5880.0;Comedy;;Kl\xe1ri Tolnay;Mikl\xf3s Hajm\xe1ssy;Mariska V\xedzv\xe1ry;Ern\xf6 Mih\xe1lyi;;Mail <svaradi@sprynet.com> for translation. Dr.Koltay a társaság dédelgetett kedvence. Napjai kellemesen telnek az ebéd- és vacsorameghivásokkal...;;;;;
1384;5.3;O Torturador;1981.0;Ant\xf4nio Calmon;5880.0;Crime;;Jece Valad\xe3o;Ot\xe1vio Augusto;Vera Gimenez;Marta Anderson;;Zionists hire a hitman to kill a war criminal nazi who's exiled in a Latin American country, protected by the local dictator.;;;;;
1385;6.8;Revenge of a Shaolin Master;1979.0;Chen Lo;5280.0;Action;;Tao-Liang Tan;Sing Chen;Chung-Kuei Chang;Fu-Chien Chang;;A corrupt mayor robs a large cargo of food and money being sent to a famine area in eastern China. The...;;;;;
1387;5.6;Westward Passage;1932.0;Robert Milton;4380.0;Drama;;Ann Harding;Laurence Olivier;Zasu Pitts;Irving Pichel;;A struggling writer divorces his wife to pursue his career without interference, but they meet in Europe years later after she has remarried.;;;;;
1394;4.9;Defeat of the Mafia;1970.0;Warren Kiefer;4920.0;Crime;;Victor Spinetti;Maria Pia Conte;Pier Paolo Capponi;Luciano Pigozzi;;At the Rome airport two men are taken into custody. Inspector Scott Luce thinks their two suit-cases are full of drugs...;;;;;
1398;4.6;Raamit ränniin;1985.0;Hannu Kahakorpi;3780.0;;;;;;;;;;;;;
1400;;The Sculptor's Dream;1930.0;Lou Tellegen;;Drama;;Lou Tellegen;Georgia Vasileiadou;Don Alvarado;Ben Bard;;A sculptor dreams about his work coming to life and having various adventures.;;;;;
1405;7.2;Soft Shell Man;2001.0;Andr\xe9 Turpin;6120.0;Drama;Romance;David La Haye;Isabelle Blais;Emmanuel Bilodeau;Chantal Giroux;;An emotionally immature underwater photographer returns home to an affair with his best friend's deaf girlfriend and unresolved issues with the wife he left six months before.;;;;;
1409;6.4;Sholi gia soferines;1964.0;Kostas Strantzalis;4440.0;Comedy;;Thanasis Vengos;Andreas Barkoulis;Dina Trianti;Simoni Kyriakidou;;This film follows the exploits of two friends who own a school that gives driving lessons. One of them...;;;;;
1420;3.0;Love Feast;1969.0;Joseph F. Robertson;3780.0;Comedy;;Mia Coco;Linda Colpin;Cynthia Denny;Neola Graef;They're Young and Reckless...Running From Life's Responsibilities;Inept director Ed Wood plays a crossdressing photographer.;;;;;
1425;6.3;As Young as We Are;1958.0;Bernard Girard;4560.0;Drama;;Robert Harland;Pippa Scott;Majel Barrett;Ty Hardin;Teacher and her student . . . too close,. too often!;Scandal erupts in a small town when a high school teacher is romantically linked with one of her male students.;;;;;
1429;1.9;Five Bloody Graves;1969.0;Al Adamson;5280.0;Western;;Robert Dix;Scott Brady;Jim Davis;John Carradine;Lust-Mad Men and Lawless Women in a Vicious and Sensuous Orgy of Slaughter!;A lone gunman hunts the fearsome Apache Satago across the plains of the Wild West. When Satago's marauders ambush a stagecoach...;;;;;
1433;6.2;Libido;1973.0;David Baker;7020.0;Drama;;Elke Neidhart;Bryon Williams;Mark Albiston;John Williams;A film quartet about the erotic drive within us all [DVD];Explores adultery and jealous fantasies, the end of innocence, the moral and spiritual conflicts of a priest and a nun in love. The stories define the exploration of women and the cultural upheaval of the early 70s.;;;Tim Burstall;;
1434;;Humanes Töten;1980.0;Muscha;5400.0;;;;;;;;;;;Trini Trimpop;;
1442;5.2;School for Love;1955.0;Marc All\xe9gret;5760.0;Comedy;Drama;Jean Marais;Brigitte Bardot;Isabelle Pia;Yves Robert;Frankly...It's Her Most Provocative!;At the Conservatory of Vienna the student only have eyes for their beautiful singing teacher, tenor Eric Walter.;;;;;
1444;6.5;Voyage of the Damned;1976.0;Stuart Rosenberg;10920.0;Drama;War;Faye Dunaway;Oskar Werner;Lee Grant;Sam Wanamaker;In The Shadow of Death... [UK];The tragic 1939 voyage of SS St. Louis carrying hundreds of German Jewish refugees from Nazi Germany that seemingly no nation is willing to save from certain doom.;;;;;
1451;5.4;Spring, Autumn and Love;1955.0;Gilles Grangier;5700.0;Comedy;Drama;Fernandel;Nicole Berger;Andrex;Georges Chamarat;;Fernand Sarrasin, nicknamed Noël, is a nougat manufacturer in his fifties who lives an uneventful life in Montélimar...;;;;;
1458;5.5;Huckleberry Finn;1975.0;Robert Totten;4680.0;Adventure;;Ron Howard;Don Most;Royal Dano;Antonio Fargas;;Huckleberry Finn, a rambuctious boy adventurer chafing under the bonds of civilization, escapes his humdrum world and his selfish...;;;;;
1460;4.9;Holy Man;1998.0;Stephen Herek;6840.0;Comedy;Drama;Eddie Murphy;Jeff Goldblum;Kelly Preston;Robert Loggia;God's Gift To Home Shopping.;Eddie Murphy stars as an over-the-top television evangelist who finds a way to turn television home shopping into a religious experience, and takes America by storm.;;;;;
1463;5.4;The House of the Seven Gables;1967.0;Jack Glenn;7800.0;Drama;;Carol Glenn;Jack Glenn;Jerome Zerbe;George Shay;;Fighting over an inheritance, one Pyncheon brother frames the other for murder.;;;;;
1464;6.5;Savulun Battal Gazi geliyor;1973.0;Natuk Baytan;5100.0;Adventure;;C\xfcneyt Arkin;Reha Yurdakul;Birsen Ayda;Kazim Kartal;;After his family is killed in front of his eyes, little Seyit Battal grows up to be the nightmare of Byzantine's Black Knighthood.;;;;;
1469;;Manon Lescaut;1914.0;Herbert Hall Winslow;3600.0;Drama;Romance;Lina Cavalieri;Lucien Muratore;Dorothy Arthur;William L. Abingdon;;Manon Lescaut, ordered to a convent by her religious fanatic father, meets and falls for a wealthy young man...;;;;;
